geoName,Massa,Milei,Bullrich,Bregman,Schiaretti
Buenos Aires,21,34,16,14,15
Catamarca,8,36,29,9,18
Chaco,15,44,21,6,14
Chubut,12,42,17,24,5
Ciudad Autónoma de Buenos Aires,22,34,16,14,14
Corrientes,17,39,15,15,14
Córdoba,13,30,15,15,27
Entre Ríos,20,43,13,11,13
Formosa,16,40,0,29,15
Jujuy,14,52,10,8,16
La Pampa,19,37,25,0,19
La Rioja,17,51,0,10,22
Mendoza,17,35,15,11,22
Misiónes,22,41,0,14,23
Neuquén,20,38,11,15,16
Río Negro,20,34,16,13,17
Salta,12,28,13,23,24
San Juan,14,51,21,14,0
San Luis,6,40,20,15,19
Santa Cruz,0,0,35,36,29
Santa Fe,18,32,16,13,21
Santiago del Estero,20,37,12,17,14
Tierra del Fuego,0,57,20,0,23
Tucumán,19,30,13,14,24
